,atom_seq2,dots-angle,planes-angle,dot_distance1,dot_distance2,dot_distance3
393,CCCC,113.99590970251732,166.91635201776566,1.5303921066184303,2.5649561399758833,3.8721311961244327
717,CCCO,116.93237161147458,111.02773786661893,1.360918807276907,2.4636152296980107,3.513089808131867
707,CCCc9,106.56024328122169,169.5920774582408,1.5337861650177982,2.4606706402930074,3.785472229458301
718,CCOH,107.56088850731842,167.27690212558082,1.0004498987955446,1.91692462032288,3.2930381109243196
708,CCc9c10,128.0571424737329,178.6225630709369,1.3913302986710212,2.63045623419208,3.820693654298912
709,Cc9c10C,118.43938351308475,1.1230613167849377,1.52990195764304,2.510736943608393,3.068599028872947
711,c10CCC,111.80983773069593,176.97203681595957,1.5301633899685376,2.5274493071078536,3.907863866615619
710,c9c10CC,113.66016894188495,177.35802182970068,1.521906698848518,2.5545253962331227,3.834762052592049
1132,CCCC,116.91942498686024,169.25204904697438,1.5356431877229808,2.6154349542666866,3.9505062966662887
957,CCCO,105.32132325388481,90.04493559873929,1.3624977064200872,2.3009780529157555,3.108150575503056
947,CCCc9,110.50701062128492,177.69300454253735,1.5288230767489026,2.5148558606806772,3.8600906725101605
958,CCOH,97.67795749811074,8.70127547806558,0.9997999799959889,1.7944358444926325,1.969187649768298
948,CCc9c10,120.90647054130639,176.97868326129608,1.3841242718773468,2.535133132598752,3.818389712954914
949,Cc9c10C,120.11166208352665,19.01305894948824,1.5253524182955245,2.5220824728783175,2.9666479400157986
951,c10CCC,111.19288954333148,169.9736609508766,1.528986592485364,2.526598503917866,3.8412758297211647
950,c9c10CC,108.06648947453836,173.6510611242657,1.5332644912082154,2.4755201473629747,3.7804761604856063
1056,CCCC,116.61057068969573,167.98114997682316,1.5321879780235887,2.6004807247891772,3.910242959203428
897,CCCO,114.7768596446806,121.16581267910985,1.3627178724886497,2.436103446079415,3.5602528000129414
887,CCCc9,112.37566004794051,73.57720363680882,1.5284632805533782,2.54098406134317,3.177703573337197
898,CCOH,109.6602299036697,1.8714694749105627,0.9950376877284588,1.9389430110243056,2.3807771840304612
888,CCc9c10,120.68636830857302,167.1931672686153,1.3912224840046215,2.538129232328409,3.8327666247764216
889,Cc9c10C,126.09265734787837,10.795226059441186,1.5327752607606917,2.607163209313903,3.084493475434823
891,c10CCC,108.0822174017952,159.6218322146078,1.5292154851426318,2.4723268392346527,3.8385674411165454
890,c9c10CC,113.46087747858142,163.24494830203062,1.5251557297535185,2.556736200705889,3.8719762395965094
533,CCCC,112.67300036677914,175.4693647777428,1.5278088885721277,2.546369965264277,3.9030628998262413
277,CCCO,120.50210129111645,95.64872594774397,1.3639281506003131,2.5114537622659823,3.4600289016133927
267,CCCc9,105.57957370521214,154.3496505484288,1.5305227865013953,2.43780639099991,3.8318141917373754
278,CCOH,101.05788988847048,175.8177692169442,0.9976973488989596,1.8378520070995876,3.269801217199598
268,CCc9c10,123.36299948634804,173.94383114829773,1.3971757226634094,2.5781000756371006,3.7815340802378157
269,Cc9c10C,123.0705043244961,1.0593579667110655,1.525975098093016,2.570505786805395,3.0716445106815393
